variable,universe,usProp,ALProp,AKProp,AZProp,ARProp,CAProp,COProp,CTProp,DEProp,DCProp,FLProp,GAProp,HIProp,IDProp,ILProp,INProp,IAProp,KSProp,KYProp,LAProp,MEProp,MDProp,MAProp,MIProp,MNProp,MSProp,MOProp,MTProp,NEProp,NVProp,NHProp,NJProp,NMProp,NYProp,NCProp,NDProp,OHProp,OKProp,ORProp,PAProp,RIProp,SCProp,SDProp,TNProp,TXProp,UTProp,VTProp,VAProp,WAProp,WVProp,WIProp,WYProp,date
homeEverOnline,noInternetAtHome,0.214802,0.239967,0.31673,0.303861,0.227923,0.246547,0.197825,0.228685,0.221831,0.190989,0.204425,0.19696,0.243847,0.258126,0.160276,0.19914,0.179745,0.256409,0.204204,0.182219,0.311557,0.20776,0.273153,0.285166,0.304185,0.158088,0.1446,0.292441,0.187955,0.330685,0.208703,0.120562,0.141817,0.164643,0.226521,0.237014,0.24774,0.22573,0.201769,0.191964,0.16119,0.150227,0.2359,0.228478,0.193478,0.313688,0.221794,0.209532,0.2665,0.262536,0.23359,0.180411,2019-11-01
canUseElsewhereMainReason,noInternetAtHome,0.029362,0.0139,0.029729,0.039646,0.029224,0.032694,0.035732,0.038025,0.032183,0.038838,0.016236,0.024631,0.03388,0.032601,0.055176,0.036172,0.018192,0.007109,0.024345,0.01302,0.034149,0.019089,0.046018,0.05471,0.05237,0.022694,0.056848,0.034514,0.032078,0.074409,0.0,0.02379,0.010803,0.017238,0.013653,0.034083,0.01275,0.016938,0.029622,0.023903,0.027726,0.035744,0.038887,0.032709,0.025415,0.010129,0.032895,0.043812,0.080732,0.029477,0.022043,0.022938,2019-11-01
noNeedInterestMainReason,noInternetAtHome,0.599748,0.559293,0.605673,0.566932,0.558058,0.57993,0.544331,0.662464,0.630651,0.533433,0.663638,0.577381,0.732065,0.592763,0.657007,0.694544,0.7582,0.586239,0.531205,0.602323,0.670329,0.591984,0.657368,0.643803,0.63508,0.605276,0.560409,0.527177,0.527551,0.616091,0.599302,0.575647,0.72905,0.642301,0.576881,0.586298,0.590729,0.614868,0.495497,0.563155,0.655524,0.549749,0.603743,0.555883,0.57552,0.631007,0.579468,0.550794,0.547147,0.597015,0.598787,0.559761,2019-11-01
noComputerMainReason,noInternetAtHome,0.029129,0.021014,0.009335,0.028418,0.009848,0.019521,0.054189,0.047485,0.0,0.016669,0.016513,0.019816,0.017989,0.007169,0.024095,0.015559,0.015216,0.006644,0.0473,0.019414,0.011128,0.02305,0.014163,0.004189,0.008836,0.027522,0.024482,0.029384,0.0458,0.024855,0.068907,0.014644,0.022655,0.030018,0.033958,0.048614,0.041645,0.016563,0.044232,0.072121,0.023133,0.043365,0.007561,0.024228,0.040895,0.040017,0.027057,0.026609,0.047361,0.004267,0.076319,0.021598,2019-11-01
unavailableMainReason,noInternetAtHome,0.032441,0.060595,0.066046,0.007295,0.050907,0.041645,0.077694,0.023554,0.007989,0.022306,0.011335,0.050024,0.045869,0.049172,0.030608,0.02825,0.008522,0.065036,0.034282,0.047311,0.025312,0.024361,0.033761,0.008359,0.0,0.070408,0.060622,0.050128,0.077871,0.048084,0.022573,0.011287,0.005177,0.005907,0.011807,0.016906,0.021335,0.04092,0.096707,0.034919,0.023505,0.028017,0.022255,0.031121,0.033962,0.088252,0.015984,0.080246,0.071421,0.032936,0.023989,0.073976,2019-11-01
privSecMainReason,noInternetAtHome,0.020019,0.023193,0.03521,0.0,0.029207,0.013557,0.011637,0.029998,0.00666,0.021606,0.030028,0.020663,0.039918,0.007353,0.013324,0.028752,0.025944,0.050465,0.018919,0.015106,0.027997,0.016846,0.010439,0.040958,0.0,0.014355,0.0,0.021579,0.041405,0.035429,0.067838,0.041935,0.0,0.030471,0.015728,0.012206,0.010708,0.007327,0.019649,0.014149,0.033357,0.004858,0.076834,0.020505,0.024362,0.011257,0.03007,0.007549,0.013858,0.02051,0.006724,0.0,2019-11-01
tooExpensiveMainReason,noInternetAtHome,0.18756,0.243917,0.167593,0.2345,0.269369,0.206258,0.192665,0.102813,0.274332,0.252839,0.16157,0.228829,0.081426,0.235163,0.133419,0.141081,0.148753,0.25042,0.205577,0.186333,0.108162,0.100118,0.114347,0.155012,0.080588,0.191035,0.201933,0.204593,0.167048,0.113741,0.195743,0.226259,0.15344,0.135116,0.224669,0.204675,0.233246,0.184008,0.189796,0.185359,0.181178,0.233743,0.162383,0.266129,0.239044,0.153869,0.230226,0.171469,0.111831,0.223134,0.131217,0.19465,2019-11-01
homeEverOnline,noInternetAtHome,0.229532,0.170076,0.255313,0.237942,0.182968,0.241668,0.321898,0.326193,0.319266,0.254987,0.225796,0.244792,0.209317,0.394298,0.173262,0.218944,0.179779,0.188017,0.131356,0.212812,0.259894,0.269393,0.272915,0.170208,0.315697,0.214659,0.285148,0.309088,0.372998,0.288884,0.262002,0.266511,0.223881,0.150079,0.2605,0.130678,0.19703,0.206444,0.302885,0.235971,0.248514,0.196268,0.165327,0.187299,0.234014,0.240062,0.178487,0.337229,0.282912,0.171289,0.204017,0.159377,2021-11-01
canUseElsewhereMainReason,noInternetAtHome,0.021065,0.017742,0.026022,0.007981,0.01745,0.003921,0.0,0.065608,0.037571,0.026536,0.021585,0.063493,0.011724,0.06304,0.007647,0.0,0.05431,0.0,0.034533,0.005645,0.015379,0.029686,0.004465,0.0,0.013985,0.012133,0.029909,0.023842,0.009698,0.013244,0.0,0.010325,0.031449,0.019729,0.013882,0.026665,0.009238,0.02867,0.037863,0.002821,0.02937,0.027404,0.033063,0.00983,0.03636,0.040038,0.0,0.029283,0.097047,0.024196,0.030688,0.065435,2021-11-01
noNeedInterestMainReason,noInternetAtHome,0.575077,0.650589,0.402713,0.552453,0.62307,0.593661,0.536125,0.525765,0.685578,0.501183,0.565231,0.512552,0.486178,0.488685,0.665758,0.739916,0.701986,0.707269,0.56831,0.54444,0.627904,0.625406,0.460766,0.638423,0.589662,0.504148,0.616027,0.615215,0.558498,0.556055,0.55431,0.579423,0.65864,0.563936,0.569657,0.663394,0.543424,0.646297,0.568475,0.611077,0.631387,0.619662,0.590922,0.620951,0.519914,0.529109,0.638237,0.559105,0.419895,0.589159,0.581061,0.564026,2021-11-01
